TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
TOR,05/17/2019,TOR @ MIL,L,240,103,37,87,42.5,10,32,31.3,19,25,76,6,34,40,19,3,6,13,30,-22
TOR,05/02/2019,TOR @ PHI,L,240,95,35,83,42.2,7,27,25.9,18,23,78.3,8,27,35,15,7,4,9,17,-21
TOR,05/09/2019,TOR @ PHI,L,242,101,35,81,43.2,9,36,25,22,29,75.9,9,25,34,25,9,4,12,24,-11
TOR,05/15/2019,TOR @ MIL,L,239,100,34,92,37,15,42,35.7,17,20,85,8,38,46,17,9,4,12,21,-8
TOR,06/02/2019,TOR vs. GSW,L,240,104,35,94,37.2,11,38,28.9,23,26,88.5,15,34,49,17,8,2,15,22,-5
TOR,04/29/2019,TOR vs. PHI,L,240,89,33,90,36.7,10,37,27,13,15,86.7,9,27,36,20,10,4,10,22,-5
TOR,04/13/2019,TOR vs. ORL,L,240,101,40,88,45.5,12,36,33.3,9,14,64.3,6,39,45,23,4,4,12,19,-3
TOR,06/10/2019,TOR vs. GSW,L,238,105,38,85,44.7,8,32,25,21,27,77.8,13,30,43,19,6,5,13,19,-1
TOR,05/12/2019,TOR vs. PHI,W,239,92,34,89,38.2,7,30,23.3,17,19,89.5,16,33,49,15,10,4,10,22,2
TOR,06/13/2019,TOR @ GSW,W,241,114,39,82,47.6,13,33,39.4,23,29,79.3,11,28,39,25,8,2,12,23,4
TOR,05/05/2019,TOR @ PHI,W,240,101,35,76,46.1,10,31,32.3,21,26,80.8,8,35,43,19,6,3,13,24,5
TOR,04/19/2019,TOR @ ORL,W,239,98,39,87,44.8,11,28,39.3,9,10,90,8,35,43,26,9,3,13,23,5
TOR,05/25/2019,TOR vs. MIL,W,239,100,36,74,48.6,12,27,44.4,16,22,72.7,6,32,38,20,7,4,10,24,6
TOR,05/23/2019,TOR @ MIL,W,240,105,31,84,36.9,18,43,41.9,25,31,80.6,10,35,45,19,6,4,6,16,6
TOR,05/19/2019,TOR vs. MIL,W,290,118,40,102,39.2,17,45,37.8,21,26,80.8,8,47,55,28,11,10,17,30,6
TOR,05/30/2019,TOR vs. GSW,W,241,118,39,77,50.6,13,33,39.4,27,32,84.4,7,29,36,25,6,6,10,26,9
TOR,06/07/2019,TOR @ GSW,W,241,105,36,86,41.9,10,32,31.3,23,24,95.8,7,32,39,22,12,4,9,21,13
TOR,04/27/2019,TOR vs. PHI,W,240,108,41,79,51.9,9,27,33.3,17,24,70.8,2,38,40,21,3,6,10,24,13
TOR,06/05/2019,TOR @ GSW,W,239,123,43,82,52.4,17,38,44.7,20,21,95.2,5,35,40,30,9,10,14,22,14
TOR,05/21/2019,TOR vs. MIL,W,239,120,41,87,47.1,14,41,34.1,24,27,88.9,10,34,44,32,9,5,11,23,18
TOR,04/23/2019,TOR vs. ORL,W,240,115,41,85,48.2,15,36,41.7,18,21,85.7,8,40,48,34,8,3,14,30,19
TOR,04/21/2019,TOR @ ORL,W,241,107,40,75,53.3,11,28,39.3,16,18,88.9,7,38,45,23,11,6,14,20,22
TOR,04/16/2019,TOR vs. ORL,W,242,111,42,87,48.3,11,35,31.4,16,17,94.1,6,36,42,25,10,5,7,23,29
TOR,05/07/2019,TOR vs. PHI,W,240,125,40,82,48.8,16,40,40,29,33,87.9,6,36,42,22,12,2,10,18,36
